employee_id,employee_code,age,department,role,years_of_service,salary,job_satisfaction,performance_score,attrition
139,E0139,28,QA,Analyst,0,289709,5,3,No
140,E0140,25,Support,Analyst,10,175749,5,4,No
141,E0141,26,Data,SE,11,85279,4,1,No
142,E0142,37,QA,Intern,15,245729,5,3,No
143,E0143,46,HR,Manager,11,206830,3,3,No
144,E0144,30,HR,QA Eng,5,197528,1,2,No
145,E0145,47,Data,SE,3,262789,2,1,No
146,E0146,34,HR,SE,8,215711,1,5,No
147,E0147,34,QA,Intern,2,275924,1,4,No
148,E0148,44,Support,Analyst,0,107654,5,2,No
149,E0149,48,Support,Analyst,15,192731,2,2,No
150,E0150,37,Support,QA Eng,15,52170,1,5,No
151,E0151,52,Engineering,Manager,12,211439,5,5,No
152,E0152,43,Support,SE,13,99744,1,3,No
153,E0153,28,HR,Intern,0,282571,5,3,No
154,E0154,47,Data,Intern,9,157033,5,5,No
155,E0155,40,QA,Intern,9,166439,4,5,No
156,E0156,31,HR,SE,4,161195,5,5,No
157,E0157,47,Support,Analyst,1,295503,3,1,No
158,E0158,45,HR,Manager,2,121292,1,3,No
159,E0159,45,Support,SE,15,176805,3,3,No
160,E0160,30,Engineering,QA Eng,4,263399,4,3,No
161,E0161,39,Support,Analyst,11,296167,2,5,No
162,E0162,38,Support,Analyst,9,253685,4,4,No
163,E0163,46,Support,SE,6,66892,4,2,No
164,E0164,35,Engineering,SE,6,116381,2,2,No
165,E0165,46,QA,SE,15,73373,1,4,No
166,E0166,34,Data,Manager,1,140885,5,1,No
167,E0167,47,Engineering,Analyst,3,229451,5,3,No
168,E0168,24,QA,SE,5,277120,4,4,No
169,E0169,39,Data,Manager,3,287260,4,4,No
170,E0170,51,Engineering,QA Eng,3,151283,5,5,No
171,E0171,54,HR,Manager,6,244819,2,5,No
172,E0172,55,QA,Intern,9,138365,4,4,No
173,E0173,43,HR,SE,3,191698,1,4,No
174,E0174,35,Data,Analyst,9,120867,1,2,No
175,E0175,29,HR,QA Eng,13,156880,2,5,No
176,E0176,53,QA,Manager,1,120821,5,3,No
177,E0177,38,Support,QA Eng,15,180746,3,3,No
178,E0178,42,QA,Intern,15,248945,2,2,No
179,E0179,30,Engineering,Intern,14,135460,5,5,No
180,E0180,41,Data,Manager,4,175935,2,3,No
181,E0181,29,HR,QA Eng,3,73076,2,5,No
182,E0182,32,Engineering,QA Eng,1,197655,5,2,No
183,E0183,41,Engineering,SE,9,265410,4,3,No
184,E0184,35,HR,Analyst,7,120536,1,5,No
185,E0185,28,HR,Analyst,12,86553,1,1,No
186,E0186,23,HR,SE,8,74070,2,1,No
187,E0187,36,HR,Intern,9,63045,3,3,No
188,E0188,46,HR,QA Eng,0,74605,1,3,Yes
189,E0189,53,HR,SE,8,142369,1,2,No
190,E0190,26,Data,Intern,8,240152,4,5,No
191,E0191,47,Data,Manager,15,128930,5,2,No
192,E0192,29,Engineering,Intern,9,183307,5,1,No
193,E0193,34,Support,Analyst,5,193119,2,1,No
194,E0194,38,Data,Analyst,8,174055,5,2,No
195,E0195,44,Engineering,Intern,12,145195,1,5,No
196,E0196,40,Support,QA Eng,0,90834,5,1,No
197,E0197,51,HR,Analyst,4,282939,2,3,No
198,E0198,45,Support,Manager,5,80896,2,5,No
199,E0199,39,Data,SE,4,190844,3,1,No
200,E0200,27,Support,SE,4,254267,4,4,No
