candidate_id,position,experience,tech_score,interview,status,candidate_code
61,QA,4,74,58,Rejected,C0061
62,SE,4,53,85,Pending,C0062
63,QA,9,91,91,Hired,C0063
64,DS,4,46,79,Pending,C0064
65,DS,2,79,43,Rejected,C0065
66,SE,6,91,48,Rejected,C0066
67,SE,3,80,77,Hired,C0067
68,SE,3,72,72,Pending,C0068
69,DS,10,92,100,Hired,C0069
70,SE,9,99,73,Hired,C0070
71,QA,1,56,86,Rejected,C0071
72,QA,7,91,52,Pending,C0072
73,SE,4,74,79,Hired,C0073
74,QA,10,42,80,Rejected,C0074
75,QA,3,98,75,Hired,C0075
76,DS,10,94,66,Hired,C0076
77,DS,1,66,65,Pending,C0077
78,SE,2,82,93,Hired,C0078
79,SE,7,75,41,Pending,C0079
80,SE,1,53,65,Pending,C0080
81,DS,7,44,83,Rejected,C0081
82,QA,6,52,51,Rejected,C0082
83,SE,5,73,63,Rejected,C0083
84,QA,1,82,96,Hired,C0084
85,SE,7,61,97,Hired,C0085
86,SE,4,42,93,Rejected,C0086
87,QA,6,70,42,Rejected,C0087
88,DS,4,45,65,Pending,C0088
89,DS,0,97,62,Hired,C0089
90,DS,0,75,100,Hired,C0090
91,SE,9,67,59,Pending,C0091
92,DS,1,77,75,Hired,C0092
93,DS,6,95,78,Hired,C0093
94,QA,9,65,73,Rejected,C0094
95,SE,5,47,42,Rejected,C0095
96,DS,8,61,99,Hired,C0096
97,QA,1,42,80,Pending,C0097
98,QA,1,71,97,Hired,C0098
99,DS,5,94,74,Hired,C0099
100,QA,0,72,98,Hired,C0100
101,DS,3,99,50,Pending,C0101
102,QA,1,49,97,Rejected,C0102
103,DS,5,65,60,Pending,C0103
104,SE,1,94,56,Pending,C0104
105,SE,4,89,80,Hired,C0105
106,QA,4,88,65,Hired,C0106
107,QA,1,76,90,Hired,C0107
108,DS,6,44,85,Rejected,C0108
109,QA,10,45,48,Pending,C0109
110,SE,4,56,55,Rejected,C0110
111,SE,8,86,70,Hired,C0111
112,QA,1,59,90,Rejected,C0112
113,DS,8,75,60,Pending,C0113
114,DS,0,48,42,Pending,C0114
115,QA,2,41,60,Pending,C0115
116,SE,9,96,75,Hired,C0116
117,QA,8,84,82,Hired,C0117
118,SE,1,67,51,Rejected,C0118
119,QA,4,77,48,Rejected,C0119
120,DS,7,69,52,Rejected,C0120
121,QA,5,61,99,Hired,C0121
122,QA,0,54,99,Hired,C0122
123,SE,4,40,71,Rejected,C0123
124,SE,0,97,75,Hired,C0124
125,QA,2,54,88,Rejected,C0125
126,SE,7,42,100,Rejected,C0126
127,QA,5,58,55,Pending,C0127
128,SE,9,60,65,Rejected,C0128
129,QA,6,51,52,Pending,C0129
130,SE,7,79,70,Pending,C0130
131,QA,10,41,99,Rejected,C0131
132,QA,6,76,82,Hired,C0132
133,QA,5,92,85,Hired,C0133
134,SE,8,61,44,Pending,C0134
135,QA,9,91,71,Hired,C0135
136,QA,7,82,75,Hired,C0136
137,QA,9,78,83,Hired,C0137
138,DS,9,97,94,Hired,C0138
139,QA,8,70,50,Pending,C0139
140,QA,8,59,76,Pending,C0140
141,SE,9,56,56,Pending,C0141
142,DS,5,88,42,Pending,C0142
143,SE,7,54,72,Pending,C0143
144,QA,10,99,61,Hired,C0144
145,SE,10,49,64,Pending,C0145
146,DS,8,47,62,Rejected,C0146
147,DS,0,87,43,Pending,C0147
148,QA,0,60,61,Pending,C0148
149,DS,1,53,85,Rejected,C0149
150,QA,1,82,92,Hired,C0150
151,DS,9,48,89,Pending,C0151
152,QA,2,61,54,Rejected,C0152
153,QA,9,88,89,Hired,C0153
154,DS,6,81,63,Pending,C0154
155,QA,7,66,99,Hired,C0155
156,SE,3,91,95,Hired,C0156
157,SE,9,66,100,Hired,C0157
158,QA,3,42,79,Rejected,C0158
159,DS,3,55,85,Pending,C0159
160,QA,5,79,49,Pending,C0160
161,DS,7,40,85,Pending,C0161
162,SE,5,50,83,Rejected,C0162
163,QA,7,67,75,Pending,C0163
164,QA,1,60,100,Hired,C0164
165,DS,8,77,81,Hired,C0165
166,SE,4,82,57,Pending,C0166
167,SE,8,88,45,Pending,C0167
168,DS,5,54,95,Pending,C0168
169,SE,9,90,54,Rejected,C0169
170,SE,4,72,72,Rejected,C0170
171,SE,0,99,43,Rejected,C0171
172,QA,0,83,43,Pending,C0172
173,SE,8,44,43,Rejected,C0173
174,QA,0,61,61,Rejected,C0174
175,SE,4,75,53,Pending,C0175
176,SE,2,58,77,Pending,C0176
177,SE,8,53,65,Rejected,C0177
178,SE,5,84,68,Hired,C0178
179,SE,9,60,66,Rejected,C0179
180,SE,3,51,72,Rejected,C0180
181,SE,0,54,51,Pending,C0181
182,SE,7,90,60,Rejected,C0182
183,QA,4,49,54,Rejected,C0183
184,DS,3,62,43,Rejected,C0184
185,SE,0,90,54,Rejected,C0185
186,SE,3,52,43,Rejected,C0186
187,QA,4,100,58,Hired,C0187
188,QA,0,73,67,Rejected,C0188
189,DS,5,86,56,Rejected,C0189
190,QA,6,62,69,Pending,C0190
191,DS,5,45,67,Rejected,C0191
192,SE,1,98,51,Rejected,C0192
193,DS,4,89,91,Hired,C0193
194,DS,6,74,59,Pending,C0194
195,DS,6,69,63,Pending,C0195
196,DS,2,70,72,Rejected,C0196
197,QA,2,59,50,Pending,C0197
198,QA,2,95,75,Hired,C0198
199,SE,2,50,69,Rejected,C0199
200,SE,5,45,92,Pending,C0200
